xYear,State,County,Zip,rundatetime,Rx_count_Pat,Rx_count_Pph,Rx_count_Dis,Pat_count,PillCount_Total_Pph,PillCount_Total_Dis,PillCount_Total_Pat,RxCount_Total_Pat,PillCount_Mean_Pat,PatCount_OpBenzo_Pat,MoEquiv_Total_Pph,Schedule2_Rx_Total_Pph,Schedule234Multi_Pat_Total_Pat,PillCount_Schedule234_Rx_Pph,RxCount_Schedule234_Rx_Pph,PillMean_Schedule234_Rx_Pph,PillCount_Schedule2_Rx_Pph,RxCount_Schedule2_Rx_Pph,PillMean_Schedule2_Rx_Pph,RegCount_Pph,RegCount_Dis,PatCount_MultiDisp,PatCount_MultiRxer,InqCount_Pph,InqCount_Dis,PphCount_RxBenzoOpioid,PatCount_Rx90MME,PatCount_Rx40Methadone,Population,Rx Count Pph per 100000,,PatCount_OpBenzo_Pat,RxCount_Schedule234_Rx_Pph,PatCount_MultiDisp,PatCount_MultiRxer
2016,CA,Los Angeles,90610,10SEP2017:10:31:20,35,0,0,17,0,0,1833,35,52.4,0,,0,0,0,0,,0,0,,0,0,0,2,0,0,0,0,0,,#DIV/0!,,,,,
2016,CA,Orange,90620,04APR2021:08:30:51,14623,2625,14108,5455,184661,969035,950435,13884,68.5,197,86405,1087,141,7754,159,48.8,170644,2099,81.3,25,39,7,466,151,12049,11,92,2,"45,113",5818.721876,,,,,
2016,CA,Orange,90621,04APR2021:08:30:51,7769,1256,1735,3203,57791,143459,478698,7402,64.7,140,38029,635,78,4075,95,42.9,59970,1213,49.4,21,28,2,228,324,4952,10,40,0,"35,153",3572.952522,,,,,
2016,CA,Orange,90622,10SEP2017:10:31:20,125,0,0,46,0,0,9209,123,74.9,0,,0,3,0,0,,0,0,,0,0,0,2,0,0,0,0,0,,#DIV/0!,,,,,
2016,CA,Orange,90623,04APR2021:08:30:51,3192,16145,12338,1462,1269333,880204,189317,3057,61.9,1002,609799,8639,40,77250,1084,71.3,1385717,16658,83.2,90,43,0,111,5274,2965,45,703,25,"15,554",103799.6657,,,,,
2016,CA,Orange,90624,10SEP2017:10:31:20,13,0,0,4,0,0,734,13,56.5,0,,0,0,0,0,,0,0,,0,0,0,2,0,0,0,0,0,,#DIV/0!,,,,,
2016,CA,Orange,90630,04APR2021:08:30:51,13584,3351,13042,5349,151121,851351,872854,13004,67.1,384,98531,2271,176,16513,333,49.6,195843,4145,47.2,50,118,1,402,1576,22145,12,101,0,"47,993",6982.268247,,,,,
2016,CA,Orange,90631,04APR2021:08:30:51,20652,6231,18336,8089,434685,1615259,1341605,19556,68.6,401,259517,3053,191,16566,297,55.8,454120,6140,74,57,65,4,622,1254,44471,19,316,3,"67,619",9214.865644,,,,,
2016,CA,Orange,90632,10SEP2017:10:31:20,216,0,0,62,0,0,13155,198,66.4,0,,0,2,0,0,,0,0,,0,0,0,4,0,0,0,0,0,,#DIV/0!,,,,,
2016,CA,Orange,90633,10SEP2017:10:31:20,81,0,0,29,0,0,6680,81,82.5,0,,0,2,0,0,,0,0,,1,0,0,3,0,0,0,0,0,,#DIV/0!,,,,,
