,xYear,County,Rx_count_Pat,Rx_count_Pph,Rx_count_Dis,Pat_count,PillCount_Total_Pph,PillCount_Total_Dis,PillCount_Total_Pat,RxCount_Total_Pat,PatCount_OpBenzo_Pat,MoEquiv_Total_Pph,Schedule2_Rx_Total_Pph,Schedule234Multi_Pat_Total_Pat,PillCount_Schedule234_Rx_Pph,RxCount_Schedule234_Rx_Pph,PillMean_Schedule234_Rx_Pph,PillCount_Schedule2_Rx_Pph,RxCount_Schedule2_Rx_Pph,PillMean_Schedule2_Rx_Pph,RegCount_Pph,RegCount_Dis,PatCount_MultiDisp,PatCount_MultiRxer,InqCount_Pph,InqCount_Dis,PphCount_RxBenzoOpioid,PatCount_Rx90MME,PatCount_Rx40Methadone,Population,Unnamed: 35,PatCount_OpBenzo_Pat.1,RxCount_Schedule234_Rx_Pph.1,PatCount_MultiDisp.1,PatCount_MultiRxer.1
65,2017,Del Norte,29904,24596,28688,6128,1996273.0,2371949.0,2374105,28879,562,1132829.0,19073,152,71578.0,1117,146.3,1544315,18607,225.3,78,23,2,805,2787,20167.0,34,760,56,28596.0,0.0,0.0,0.0,0.0,0.0
66,2017,El Dorado,153079,98794,102333,44156,5838445.8,10346123.0,10536552,142814,4260,3641502.0,79395,1380,467062.0,7533,655.6999999999999,5459417,83666,792.3,421,158,26,6264,55145,82170.0,228,4708,220,180987.0,0.0,0.0,0.0,0.0,0.0
67,2017,Fresno,578681,632921,717135,179256,40636142.5,45694568.91,35795223,562984,26173,23935174.0,495367,6928,3598671.0,58388,2315.2999999999993,34373778,534938,2528.5,2396,862,30,15239,226010,395489.0,1089,22607,1399,935100.0,0.0,0.0,0.0,0.0,0.0
68,2017,Glenn,22881,11290,19508,6328,969722.0,1970638.0,1856898,22070,520,485257.0,9861,201,74098.0,994,133.89999999999998,685234,8915,149.6,34,17,1,540,6093,10111.0,12,588,24,28708.0,0.0,0.0,0.0,0.0,0.0
69,2017,Humboldt,122647,113278,117648,29696,8269062.5,13385857.5,9027550,118076,4601,6303303.0,88608,978,493997.0,7763,943.9,6951706,92677,1380.3999999999996,408,100,3,4500,18517,39774.0,235,5926,343,134681.0,0.0,0.0,0.0,0.0,0.0
70,2017,Imperial,75043,53900,70885,28625,3768635.0,6096803.0,5082844,71276,2208,2341786.0,45238,1072,355265.0,5628,422.9,3240051,47546,477.1,205,86,5,2337,65894,32630.0,100,1952,55,170552.0,0.0,0.0,0.0,0.0,0.0
71,2017,Inyo,12849,7347,12593,3562,471185.0,1058131.0,906599,12314,275,346431.0,5871,140,57720.0,812,247.09999999999997,431995,6401,212.7,78,16,1,333,2725,929.0,30,263,16,19497.0,0.0,0.0,0.0,0.0,0.0
72,2017,Kern,558642,490687,541374,168352,32628466.1,43706248.5,37399238,535523,20919,14395485.0,364953,6545,2668368.5,44694,2033.9000000000003,27923498,399551,2566.8999999999996,1610,626,55,19967,229968,440756.0,804,16525,487,841588.0,0.0,0.0,0.0,0.0,0.0
73,2017,Kings,79707,60665,73911,25538,3957689.0,7182514.0,5308270,76982,2451,1576188.0,47030,935,336212.0,5726,330.9,3130644,48833,316.8,248,85,4,2881,30858,62432.0,138,1778,51,151702.0,0.0,0.0,0.0,0.0,0.0
74,2017,Lake,69412,36685,60475,17968,2952110.0,6945555.0,5508284,67543,1855,2593239.0,28291,603,275901.0,4436,458.0,2509455,31677,625.3999999999999,140,41,2,2272,29116,14308.0,70,2507,141,64599.0,0.0,0.0,0.0,0.0,0.0
